adv_pkg,base_pkg,category,typomind_cat
get-env, getenv, Swapped Words,"{'delimiter modification': 1, '1-step D-L dist': 1}"
get-env, getenv, Common Typos,"{'delimiter modification': 1, '1-step D-L dist': 1}"
sleep-atomic, atomic-sleep, Swapped Words,{'sequence reordering': 1}
acron, acorn, Swapped Characters,{'1-step D-L dist': 1}
merge-image, merge-images, Omitted Characters,"{'grammatical substitution': True, '1-step D-L dist': 1}"
urn, run, Swapped Characters,NA
swipe, swiper, Omitted Characters,"{'1-step D-L dist': 1, 'grammatical substitution': True}"
dataurl, datauri, Common Typos,"{'homographic replacement': 1, '1-step D-L dist': 1}"
wf, wd, Common Typos,NA
doctype, doctypes, Omitted Characters,"{'grammatical substitution': True, '1-step D-L dist': 1}"
methodd, methods, Common Typos,{'1-step D-L dist': 1}
clor, color, Omitted Characters,"{'1-step D-L dist': 1, 'homophonic similarity': True}"
dref, deref, Omitted Characters,{'1-step D-L dist': 1}
toarray, to-array, Omitted Characters,{'delimiter modification': 1}
watch_r, watchr, Swapped Words,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
watch_r, watchr, Common Typos,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
express-url-rewrite, express-urlrewrite, Common Typos,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
rollup-1, rollup, Version Number,"{'1-step D-L dist': 2, 'prefix/ suffix augmentation': 1}"
access-control, accesscontrol, Swapped Words,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
access-control, accesscontrol, Common Typos,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
module-parent, parent-module, Swapped Words,{'sequence reordering': 1}
isbrowser, is-browser, Omitted Characters,{'delimiter modification': 1}
interact.js, interactjs, Swapped Words,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
interact.js, interactjs, Common Typos,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
lem, elm, Swapped Characters,NA
lem, pem, Common Typos,NA
react-icons2, react-icons, Version Number,"{'1-step D-L dist': 1, 'homophonic similarity': True}"
fis, vis, Common Typos,NA
testme, testem, Swapped Characters,{'1-step D-L dist': 1}
yrs, urs, Common Typos,NA
readdir, readdirp, Omitted Characters,{'1-step D-L dist': 1}
picture-tube, picture-tuber, Omitted Characters,"{'1-step D-L dist': 1, 'grammatical substitution': True}"
globwatcher, glob-watcher, Omitted Characters,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
hash-js, hash.js, Swapped Words,{'delimiter modification': 1}
hash-js, hash.js, Common Typos,{'delimiter modification': 1}
js-scrypt, scrypt-js, Swapped Words,{'sequence reordering': 1}
mime2, mime, Version Number,"{'homophonic similarity': True, '1-step D-L dist': 1}"
koa-locales2, koa-locales, Version Number,"{'homophonic similarity': True, '1-step D-L dist': 1}"
react-hotkeyz, react-hotkeys, Common Typos,NA
huid, nuid, Common Typos,{'1-step D-L dist': 1}
dockerfile-parser, docker-file-parser, Omitted Characters,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
typescript-collection, typescript-collections, Omitted Characters,"{'1-step D-L dist': 1, 'grammatical substitution': True}"
stack-frame, stackframe, Swapped Words,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
stack-frame, stackframe, Common Typos,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
