adv_pkg,base_pkg,category,typomind_cat
pan-zoom, panzoom, Swapped Words,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
pan-zoom, panzoom, Common Typos,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
limit-size, size-limit, Swapped Words,{'sequence reordering': 1}
jet, net, Common Typos,NA
reg, ret, Common Typos,NA
sarray, isarray, Omitted Characters,"{'simplification': 1, '1-step D-L dist': 1}"
sset, dset, Common Typos,{'1-step D-L dist': 1}
psi, psl, Common Typos,{'homographic replacement': 1}
nlm, npm, Common Typos,NA
asnyc, async, Swapped Characters,{'1-step D-L dist': 1}
node_modules-path, node-modules-path, Swapped Words,{'delimiter modification': 1}
node_modules-path, node-modules-path, Common Typos,{'delimiter modification': 1}
react-font-awesome, react-fontawesome, Common Typos,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
scp, sdp, Common Typos,NA
rollup-analyzer-plugin, rollup-plugin-analyzer, Swapped Words,{'sequence reordering': 1}
aba, ava, Common Typos,NA
mimetypes, mime-types, Omitted Characters,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
xmljs, xml2js, Omitted Characters,{'1-step D-L dist': 1}
react-masked-input, react-maskedinput, Common Typos,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
react-alert-confirm, react-confirm-alert, Swapped Words,{'sequence reordering': 1}
imagesize, image-size, Omitted Characters,"{'delimiter modification': 1, '1-step D-L dist': 1}"
jase, jade, Common Typos,{'1-step D-L dist': 1}
ascii-table3, ascii-table, Version Number,"{'homophonic similarity': True, '1-step D-L dist': 1}"
viz, vis, Common Typos,NA
tmath, tmatch, Omitted Characters,{'1-step D-L dist': 1}
locl, lock, Common Typos,{'1-step D-L dist': 1}
arvs, args, Common Typos,{'1-step D-L dist': 1}
scrollbarwidth, scrollbar-width, Omitted Characters,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
rclone, fclone, Common Typos,{'1-step D-L dist': 1}
rar-stream, tar-stream, Common Typos,{'1-step D-L dist': 1}
gulp-eslint7, gulp-eslint, Version Number,"{'1-step D-L dist': 1, 'homophonic similarity': True}"
dsv, csv, Common Typos,NA
react-googlemaps, react-google-maps, Omitted Characters,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
nrm, mrm, Common Typos,{'homographic replacement': 1}
pretty3, pretty, Version Number,"{'homophonic similarity': True, '1-step D-L dist': 1}"
color-map, colormap, Swapped Words,NA
color-map, colormap, Common Typos,NA
sb-logger, bs-logger, Swapped Characters,{'1-step D-L dist': 1}
objectstream, object-stream, Omitted Characters,"{'delimiter modification': 1, '1-step D-L dist': 1}"
blame, blamer, Omitted Characters,"{'grammatical substitution': True, '1-step D-L dist': 1}"
ccss, css, Repeated Characters,{'prefix/ suffix augmentation': 1}
ccss, cvss, Common Typos,{'1-step D-L dist': 1}
enzyme-adapter-react-15, enzyme-adapter-react-16, Common Typos,"{'homophonic similarity': True, '1-step D-L dist': 1}"
callee, caller, Common Typos,{'1-step D-L dist': 1}
end-with, ends-with, Omitted Characters,"{'grammatical substitution': True, '1-step D-L dist': 1}"
robots-parse, robots-parser, Omitted Characters,"{'grammatical substitution': True, '1-step D-L dist': 1}"
beedle, needle, Common Typos,{'1-step D-L dist': 1}
times, timers, Omitted Characters,{'1-step D-L dist': 1}
wildcard2, wildcard, Version Number,"{'homophonic similarity': True, '1-step D-L dist': 1}"
node-release, node-releases, Omitted Characters,"{'1-step D-L dist': 1, 'grammatical substitution': True}"
dpath, xpath, Common Typos,{'1-step D-L dist': 1}
json-csv, csvjson, Swapped Words,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
axios2, axios, Version Number,"{'1-step D-L dist': 1, 'homophonic similarity': True}"
hn.js, bn.js, Common Typos,{'1-step D-L dist': 1}
validatejs, validate.js, Omitted Characters,{'delimiter modification': 1}
ng-stripe, ngx-stripe, Omitted Characters,{'1-step D-L dist': 1}
is-up, is-ip, Common Typos,{'1-step D-L dist': 1}
yoml, toml, Common Typos,{'1-step D-L dist': 1}
taarn, tarn, Repeated Characters,"{'homophonic similarity': True, '1-step D-L dist': 1}"
eslint-plugin-sx, eslint-plugin-jsx, Omitted Characters,{'1-step D-L dist': 1}
node-analytics, analytics-node, Swapped Words,{'sequence reordering': 1}
rsjs, rxjs, Common Typos,{'1-step D-L dist': 1}
eslint-plugin-ts, eslint-plugin-tsc, Omitted Characters,{'1-step D-L dist': 1}
bundle-dts, dts-bundle, Swapped Words,{'sequence reordering': 1}
ioa-router, koa-router, Common Typos,{'1-step D-L dist': 1}
umap, imap, Common Typos,{'1-step D-L dist': 1}
mp-promise, tmp-promise, Omitted Characters,"{'1-step D-L dist': 1, 'simplification': 1}"
is-exe, isexe, Swapped Words,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
is-exe, isexe, Common Typos,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
mockjs2, mockjs, Version Number,{'1-step D-L dist': 1}
aargs, args, Repeated Characters,{'1-step D-L dist': 1}
mdi, mri, Common Typos,NA
pdf3json, pdf2json, Common Typos,{'1-step D-L dist': 1}
sal.js, sql.js, Common Typos,{'1-step D-L dist': 1}
tiny-tim, tinytim, Swapped Words,"{'delimiter modification': 1, '1-step D-L dist': 1}"
tiny-tim, tinytim, Common Typos,"{'delimiter modification': 1, '1-step D-L dist': 1}"
cds, css, Common Typos,NA
wemoji, twemoji, Omitted Characters,"{'1-step D-L dist': 1, 'simplification': 1}"
validate-js, validate.js, Swapped Words,NA
validate-js, validate.js, Common Typos,NA
autocomplete-js, autocomplete.js, Swapped Words,NA
autocomplete-js, autocomplete.js, Common Typos,NA
autof, autod, Common Typos,NA
filesource, file-source, Omitted Characters,"{'delimiter modification': 1, '1-step D-L dist': 1}"
component-emitter2, component-emitter, Version Number,"{'homophonic similarity': True, '1-step D-L dist': 1}"
ui-kit, uikit, Swapped Words,NA
ui-kit, uikit, Common Typos,NA
html-escape, html-escaper, Omitted Characters,"{'grammatical substitution': True, '1-step D-L dist': 1}"
html-escape, escape-html, Swapped Words,{'sequence reordering': 1}
html-escape, htmlescape, Common Typos,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
hapi-auth-jwt, hapi-auth-jwt2, Omitted Characters,NA
redux-action, redux-actions, Omitted Characters,NA
reffy, deffy, Common Typos,NA
react-fa, react-ga, Common Typos,{'1-step D-L dist': 1}
react-strap, reactstrap, Swapped Words,NA
react-strap, reactstrap, Common Typos,NA
pretty-size, prettysize, Swapped Words,NA
pretty-size, prettysize, Common Typos,NA
tnp, tmp, Common Typos,NA
angular-cookie, angular-cookies, Omitted Characters,"{'1-step D-L dist': 1, 'grammatical substitution': True}"
query, jquery, Omitted Characters,NA
clicolor, cli-color, Omitted Characters,NA
ios, iis, Common Typos,NA
fxjs, rxjs, Common Typos,NA
lodash3, lodash, Version Number,NA
urlite, urllite, Omitted Characters,NA
muid, nuid, Common Typos,"{'homographic replacement': 1, '1-step D-L dist': 1}"
webpack-clean-plugin, clean-webpack-plugin, Swapped Words,NA
validator.js, validatorjs, Swapped Words,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
validator.js, validatorjs, Common Typos,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
json-api-normalize, json-api-normalizer, Omitted Characters,NA
steam, stream, Omitted Characters,NA
charts, echarts, Omitted Characters,{'1-step D-L dist': 1}
serialize-php, php-serialize, Swapped Words,{'sequence reordering': 1}
colorx, colors, Common Typos,{'1-step D-L dist': 1}
cofn, conf, Swapped Characters,{'1-step D-L dist': 1}
googlemaps, google-maps, Omitted Characters,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
jsonquery, json-query, Omitted Characters,NA
types.js, js-types, Swapped Words,"{'sequence reordering': 1, 'delimiter modification': 1}"
types.js, typed.js, Common Typos,{'1-step D-L dist': 1}
deequal, dequal, Repeated Characters,{'1-step D-L dist': 1}
chr, xhr, Common Typos,NA
stream-match, match-stream, Swapped Words,{'sequence reordering': 1}
promise-any, any-promise, Swapped Words,NA
promise-any, promise.any, Common Typos,NA
react-css, reactcss, Swapped Words,NA
react-css, reactcss, Common Typos,NA
yar, tar, Common Typos,NA
htmlparser3, htmlparser2, Common Typos,{'1-step D-L dist': 1}
htmlparser3, htmlparser, Version Number,"{'1-step D-L dist': 1, 'prefix/ suffix augmentation': 1}"
domhandler3, domhandler, Version Number,"{'1-step D-L dist': 1, 'prefix/ suffix augmentation': 1}"
electorn, electron, Swapped Characters,{'1-step D-L dist': 1}
aesjs, aes-js, Omitted Characters,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
react-doc, react-dock, Omitted Characters,"{'homophonic similarity': True, '1-step D-L dist': 1}"
array-includes-polyfill, polyfill-array-includes, Swapped Words,{'sequence reordering': 1}
read-last-line, read-last-lines, Omitted Characters,"{'grammatical substitution': True, '1-step D-L dist': 1}"
gitclone, git-clone, Omitted Characters,{'delimiter modification': 1}
sprintf.js, sprintf-js, Swapped Words,{'delimiter modification': 1}
sprintf.js, sprintf-js, Common Typos,{'delimiter modification': 1}
wheei, wheel, Common Typos,"{'homographic replacement': 1, '1-step D-L dist': 1}"
dapjs, ldapjs, Omitted Characters,"{'simplification': 1, '1-step D-L dist': 1}"
prop-type, prop-types, Omitted Characters,"{'grammatical substitution': True, '1-step D-L dist': 1}"
qs2, qs, Version Number,NA
htmlentities, html-entities, Omitted Characters,{'delimiter modification': 1}
nodeinit, nodeunit, Common Typos,{'1-step D-L dist': 1}
spawns, spawnd, Common Typos,{'1-step D-L dist': 1}
rc-tree-select-3, rc-tree-select, Version Number,"{'1-step D-L dist': 2, 'prefix/ suffix augmentation': 1}"
rollup-plugin-json5, rollup-plugin-json, Version Number,"{'homophonic similarity': True, '1-step D-L dist': 1}"
vue-ci, vue-cli, Omitted Characters,{'1-step D-L dist': 1}
key-mirror, keymirror, Swapped Words,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
key-mirror, keymirror, Common Typos,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
minimost, minimist, Common Typos,{'1-step D-L dist': 1}
try, tty, Common Typos,NA
enque, denque, Omitted Characters,{'1-step D-L dist': 1}
poca, pica, Common Typos,"{'homophonic similarity': True, '1-step D-L dist': 1}"
react-apexcharts-2, react-apexcharts, Version Number,{'1-step D-L dist': 2}
quick-tmp, quick-temp, Omitted Characters,"{'homophonic similarity': True, '1-step D-L dist': 1}"
sjv, ajv, Common Typos,NA
react-poper, react-popper, Omitted Characters,"{'homophonic similarity': True, '1-step D-L dist': 1}"
srs, rss, Swapped Characters,NA
funtypes, runtypes, Common Typos,{'1-step D-L dist': 1}
protobuf.js, protobufjs, Swapped Words,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
protobuf.js, protobufjs, Common Typos,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
react-custom-scrollbar, react-custom-scrollbars, Omitted Characters,"{'grammatical substitution': True, '1-step D-L dist': 1}"
gs, fs, Common Typos,NA
mobgoose, mongoose, Common Typos,{'1-step D-L dist': 1}
spawncommand, spawn-command, Omitted Characters,{'delimiter modification': 1}
jsd, jss, Common Typos,NA
hash-file, hash-files, Omitted Characters,"{'grammatical substitution': True, '1-step D-L dist': 1}"
rtl, ttl, Common Typos,NA
mc, mv, Common Typos,NA
deep-clone, clone-deep, Swapped Words,{'sequence reordering': 1}
gun, bun, Common Typos,NA
promise-stream, stream-promise, Swapped Words,{'sequence reordering': 1}
is-git, js-git, Common Typos,"{'homographic replacement': 1, '1-step D-L dist': 1}"
postcss-helper, postcss-helpers, Omitted Characters,"{'grammatical substitution': True, '1-step D-L dist': 1}"
swag, nswag, Omitted Characters,{'1-step D-L dist': 1}
progress2, progress, Version Number,"{'homophonic similarity': True, '1-step D-L dist': 1}"
potion, option, Swapped Characters,{'1-step D-L dist': 1}
linz, linez, Omitted Characters,{'1-step D-L dist': 1}
message-format, messageformat, Swapped Words,"{'delimiter modification': 1, '1-step D-L dist': 1}"
message-format, messageformat, Common Typos,"{'delimiter modification': 1, '1-step D-L dist': 1}"
ng-mask, ngx-mask, Omitted Characters,{'1-step D-L dist': 1}
deep.clone, clone-deep, Swapped Words,"{'sequence reordering': 1, 'delimiter modification': 1}"
mdjson, ndjson, Common Typos,"{'homographic replacement': 1, '1-step D-L dist': 1}"
webpack-html-plugin, html-webpack-plugin, Swapped Words,{'sequence reordering': 1}
react-flagkit, react-flag-kit, Omitted Characters,"{'delimiter modification': 1, '1-step D-L dist': 1}"
qx, qs, Common Typos,NA
pipe, xpipe, Omitted Characters,{'1-step D-L dist': 1}
ds, fs, Common Typos,NA
batch2, batch, Version Number,"{'homophonic similarity': True, '1-step D-L dist': 1}"
srcset-parse, parse-srcset, Swapped Words,{'sequence reordering': 1}
react-cosmos-playground, react-cosmos-playground2, Omitted Characters,{'1-step D-L dist': 1}
glob-import-loader, import-glob-loader, Swapped Words,{'sequence reordering': 1}
koa2, koa, Version Number,{'prefix/ suffix augmentation': 1}
browser_fingerprint, browser-fingerprint, Swapped Words,{'delimiter modification': 1}
browser_fingerprint, browser-fingerprint, Common Typos,{'delimiter modification': 1}
shorthash2, shorthash, Version Number,"{'prefix/ suffix augmentation': 1, '1-step D-L dist': 1}"
mock.js, mockjs, Swapped Words,"{'delimiter modification': 1, '1-step D-L dist': 1}"
mock.js, mockjs, Common Typos,"{'delimiter modification': 1, '1-step D-L dist': 1}"
webpack-visualizer-plugin2, webpack-visualizer-plugin, Version Number,"{'1-step D-L dist': 1, 'homophonic similarity': True}"
ssl-validator, asl-validator, Common Typos,{'1-step D-L dist': 1}
fresh-require, requirefresh, Swapped Words,"{'delimiter modification': 1, 'sequence reordering': 1, '1-step D-L dist': 1}"
murmurhash3, murmurhash, Version Number,"{'prefix/ suffix augmentation': 1, '1-step D-L dist': 1}"
vue3-google-maps, vue2-google-maps, Common Typos,"{'homophonic similarity': True, '1-step D-L dist': 1}"
business-moment, moment-business, Swapped Words,{'sequence reordering': 1}
deck, decko, Omitted Characters,{'1-step D-L dist': 1}
guage, gauge, Swapped Characters,{'1-step D-L dist': 1}
hopy, hoopy, Omitted Characters,{'1-step D-L dist': 1}
mxl, xml, Swapped Characters,NA
grunt-jsdox, grunt-jsdoc, Common Typos,{'1-step D-L dist': 1}
jsdox, jsdoc, Common Typos,{'1-step D-L dist': 1}
ts-react, tss-react, Omitted Characters,"{'homophonic similarity': True, '1-step D-L dist': 1}"
rvn, run, Common Typos,NA
sanitize, sanitizer, Omitted Characters,"{'grammatical substitution': True, '1-step D-L dist': 1}"
npmapi, npm-api, Omitted Characters,{'delimiter modification': 1}
lodash._noop, lodash.noop, Swapped Words,NA
lodash._noop, lodash.noop, Common Typos,NA
es-cli, eas-cli, Omitted Characters,{'1-step D-L dist': 1}
getproxy, get-proxy, Omitted Characters,"{'delimiter modification': 1, '1-step D-L dist': 1}"
jaysn, jayson, Omitted Characters,{'1-step D-L dist': 1}
tracks, trackjs, Omitted Characters,{'1-step D-L dist': 1}
jsonfn, json-fn, Omitted Characters,{'delimiter modification': 1}
vue-clickaway2, vue-clickaway, Version Number,{'1-step D-L dist': 1}
type-error, typed-error, Omitted Characters,{'1-step D-L dist': 1}
river.js, driver.js, Omitted Characters,"{'1-step D-L dist': 1, 'simplification': 1}"
random-hex, randomhex, Swapped Words,"{'delimiter modification': 1, '1-step D-L dist': 1}"
random-hex, randomhex, Common Typos,"{'delimiter modification': 1, '1-step D-L dist': 1}"
ip-public, public-ip, Swapped Words,{'sequence reordering': 1}
lodahs, lodash, Swapped Characters,{'1-step D-L dist': 1}
v-money2, v-money, Version Number,"{'homophonic similarity': True, '1-step D-L dist': 1}"
qif, wif, Common Typos,NA
vt-geojson, geojson-vt, Swapped Words,{'sequence reordering': 1}
mocha-munit-reporter, mocha-junit-reporter, Common Typos,{'1-step D-L dist': 1}
stat, jstat, Omitted Characters,{'1-step D-L dist': 1}
dot-env, dotenv, Swapped Words,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
dot-env, dotenv, Common Typos,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
glup-cli, gulp-cli, Swapped Characters,{'1-step D-L dist': 1}
ips, ipx, Common Typos,NA
clivi, cliui, Common Typos,{'1-step D-L dist': 1}
cssauron2, cssauron, Version Number,"{'1-step D-L dist': 1, 'prefix/ suffix augmentation': 1}"
detect-language, languagedetect, Swapped Words,"{'delimiter modification': 1, 'sequence reordering': 1, '1-step D-L dist': 1}"
memoize-async, memoizeasync, Swapped Words,"{'delimiter modification': 1, '1-step D-L dist': 1}"
memoize-async, memoizeasync, Common Typos,"{'delimiter modification': 1, '1-step D-L dist': 1}"
bip65, bip66, Common Typos,{'1-step D-L dist': 1}
methodmissing, method-missing, Omitted Characters,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
svgx, svgs, Common Typos,{'1-step D-L dist': 1}
saws, sass, Common Typos,"{'1-step D-L dist': 1, 'homophonic similarity': True}"
